Country_code,Country,Who_region,Wb_income,Total_Deaths,Vaccine_Intro_Date,Adoption_Category
ABW,Aruba,AMR,HIC,265.0,2021-02-17,Mid Adopters (Feb-May 2021)
AGO,Angola,AFR,LMC,12.0,2021-03-10,Mid Adopters (Feb-May 2021)
ALB,Albania,EUR,UMC,1950.0,2021-01-13,Early Adopters (Before Feb 2021)
ARG,Argentina,AMR,UMC,124976.0,2020-12-29,Early Adopters (Before Feb 2021)
AUS,Australia,WPR,HIC,336.0,2021-02-21,Mid Adopters (Feb-May 2021)
AUT,Austria,EUR,HIC,22601.0,2020-12-30,Early Adopters (Before Feb 2021)
BDI,Burundi,AFR,LIC,1.0,2021-10-18,Late Adopters (After May 2021)
BEL,Belgium,EUR,HIC,33523.0,2020-12-30,Early Adopters (Before Feb 2021)
BEN,Benin,AFR,LMC,2.0,2021-03-29,Mid Adopters (Feb-May 2021)
BFA,Burkina Faso,AFR,LIC,2.0,2021-06-02,Late Adopters (After May 2021)
BGD,Bangladesh,SEAR,LMC,28870.0,2021-01-27,Early Adopters (Before Feb 2021)
BHR,Bahrain,EMR,HIC,1549.0,2020-11-04,Early Adopters (Before Feb 2021)
BHS,Bahamas,AMR,HIC,925.0,2021-03-14,Mid Adopters (Feb-May 2021)
BLR,Belarus,EUR,UMC,2723.0,2021-02-03,Mid Adopters (Feb-May 2021)
BLZ,Belize,AMR,UMC,1.0,2021-03-01,Mid Adopters (Feb-May 2021)
BMU,Bermuda,AMR,HIC,43.0,2021-01-11,Early Adopters (Before Feb 2021)
BOL,Bolivia (Plurinational State of),AMR,LMC,10.0,2021-01-30,Early Adopters (Before Feb 2021)
BRA,Brazil,AMR,UMC,289214.0,2021-01-17,Early Adopters (Before Feb 2021)
BRB,Barbados,AMR,HIC,73.0,2021-01-08,Early Adopters (Before Feb 2021)
BRN,Brunei Darussalam,WPR,HIC,23.0,2021-04-03,Mid Adopters (Feb-May 2021)
BTN,Bhutan,SEAR,LMC,1.0,2021-03-27,Mid Adopters (Feb-May 2021)
BWA,Botswana,AFR,UMC,2.0,2021-03-26,Mid Adopters (Feb-May 2021)
CAF,Central African Republic,AFR,LIC,1.0,2021-03-19,Mid Adopters (Feb-May 2021)
CAN,Canada,AMR,HIC,54068.0,2020-12-14,Early Adopters (Before Feb 2021)
CHE,Switzerland,EUR,HIC,14158.0,2020-12-23,Early Adopters (Before Feb 2021)
