Country_code,Agegroup,Deaths
ABW,15_64,64.0
ABW,65+,201.0
AGO,15_64,7.0
AGO,65+,5.0
ALB,15_64,549.0
ALB,65+,1401.0
ARG,0_4,150.0
ARG,15_64,38459.0
ARG,5_14,93.0
ARG,65+,86274.0
AUS,15_64,22.0
AUS,65+,314.0
AUT,0_4,4.0
AUT,15_64,2077.0
AUT,5_14,5.0
AUT,65+,20515.0
BDI,15_64,1.0
BEL,0_4,1.0
BEL,15_64,2312.0
BEL,5_14,2.0
BEL,65+,31208.0
BEN,15_64,2.0
BFA,15_64,1.0
BFA,65+,1.0
BGD,0_4,49.0
BGD,15_64,14047.0
BGD,5_14,62.0
BGD,65+,14712.0
BHR,0_4,1.0
BHR,15_64,835.0
BHR,5_14,1.0
BHR,65+,712.0
BHS,0_4,5.0
BHS,15_64,553.0
BHS,5_14,3.0
BHS,65+,364.0
BIH,0_4,1.0
BIH,15_64,2690.0
BIH,5_14,1.0
BIH,65+,11672.0
BLR,0_4,57.0
BLR,15_64,1554.0
BLR,5_14,70.0
BLR,65+,1042.0
BLZ,15_64,1.0
BMU,0_4,1.0
BMU,15_64,11.0
BMU,65+,31.0
BOL,15_64,6.0
BOL,65+,4.0
BRA,0_4,843.0
BRA,15_64,107162.0
BRA,5_14,379.0
BRA,65+,180830.0
BRB,15_64,22.0
BRB,65+,51.0
BRN,15_64,11.0
BRN,5_14,1.0
BRN,65+,11.0
BTN,65+,1.0
BWA,65+,2.0
CAF,15_64,1.0
CAN,0_4,36.0
CAN,15_64,6000.0
CAN,5_14,35.0
CAN,65+,47997.0
CHE,0_4,7.0
CHE,15_64,832.0
CHE,5_14,1.0
CHE,65+,13318.0
CHL,0_4,43.0
CHL,15_64,14530.0
CHL,5_14,73.0
CHL,65+,45188.0
CHN,0_4,2.0
CHN,15_64,44.0
CHN,5_14,1.0
CHN,65+,578.0
CIV,15_64,1.0
CMR,0_4,3.0
CMR,15_64,88.0
CMR,5_14,1.0
CMR,65+,5.0
COD,15_64,3.0
COG,15_64,5.0
COG,65+,2.0
COK,15_64,1.0
COL,0_4,99.0
COL,15_64,51417.0
COL,5_14,125.0
COL,65+,85498.0
CRI,0_4,17.0
CRI,15_64,3439.0
CRI,5_14,14.0
CRI,65+,4895.0
CUB,0_4,23.0
CUB,15_64,80.0
CUB,5_14,3.0
CUB,65+,210.0
CUW,0_4,1.0
CUW,15_64,62.0
CUW,65+,243.0
CYM,65+,1.0
CYP,0_4,2.0
CYP,15_64,231.0
CYP,5_14,2.0
CYP,65+,1355.0
CZE,0_4,4.0
CZE,15_64,4437.0
CZE,5_14,8.0
CZE,65+,39380.0
DEU,0_4,51.0
DEU,15_64,15643.0
DEU,5_14,40.0
DEU,65+,158993.0
DNK,0_4,5.0
DNK,15_64,265.0
DNK,5_14,3.0
DNK,65+,3373.0
DOM,0_4,21.0
DOM,15_64,1681.0
DOM,5_14,11.0
DOM,65+,2572.0
DZA,15_64,12.0
DZA,65+,2.0
ECU,0_4,46.0
ECU,15_64,10095.0
ECU,5_14,59.0
ECU,65+,16580.0
EGY,0_4,18.0
EGY,15_64,6795.0
EGY,5_14,23.0
EGY,65+,8893.0
ERI,15_64,5.0
ERI,65+,1.0
ESP,0_4,15.0
