Country_code,date,Deaths
ABW,2020-04-01,3.0
ABW,2020-08-01,12.0
ABW,2020-09-01,22.0
ABW,2020-10-01,7.0
ABW,2020-11-01,4.0
ABW,2020-12-01,8.0
ABW,2021-01-01,14.0
ABW,2021-02-01,16.0
ABW,2021-03-01,17.0
ABW,2021-04-01,14.0
ABW,2021-05-01,2.0
ABW,2021-06-01,3.0
ABW,2021-07-01,6.0
ABW,2021-08-01,60.0
ABW,2021-09-01,19.0
ABW,2021-10-01,3.0
ABW,2021-11-01,9.0
ABW,2021-12-01,8.0
ABW,2022-01-01,20.0
ABW,2022-02-01,2.0
ABW,2022-05-01,2.0
ABW,2022-06-01,4.0
ABW,2022-07-01,3.0
ABW,2022-08-01,1.0
ABW,2022-09-01,2.0
ABW,2022-10-01,2.0
ABW,2022-11-01,2.0
AGO,2020-07-01,2.0
AGO,2020-08-01,10.0
ALB,2020-08-01,11.0
ALB,2020-09-01,50.0
ALB,2020-10-01,19.0
ALB,2020-11-01,103.0
ALB,2020-12-01,180.0
ALB,2021-01-01,76.0
ALB,2021-02-01,288.0
ALB,2021-03-01,309.0
ALB,2021-04-01,56.0
ALB,2021-05-01,23.0
ALB,2021-06-01,2.0
ALB,2021-07-01,1.0
ALB,2021-08-01,37.0
ALB,2021-09-01,223.0
ALB,2021-10-01,228.0
ALB,2021-11-01,177.0
ALB,2021-12-01,157.0
ALB,2022-01-01,6.0
ALB,2024-01-01,1.0
ALB,2024-07-01,1.0
ALB,2024-08-01,2.0
ARG,2020-03-01,70.0
ARG,2020-04-01,450.0
ARG,2020-05-01,770.0
ARG,2020-06-01,2171.0
ARG,2020-07-01,6406.0
ARG,2020-08-01,7441.0
ARG,2020-09-01,11794.0
ARG,2020-10-01,8982.0
ARG,2020-11-01,5024.0
ARG,2020-12-01,4285.0
ARG,2021-01-01,5095.0
ARG,2021-02-01,3501.0
ARG,2021-03-01,5756.0
ARG,2021-04-01,12488.0
ARG,2021-05-01,15647.0
ARG,2021-06-01,14617.0
ARG,2021-07-01,6183.0
ARG,2021-08-01,3189.0
ARG,2021-09-01,1098.0
ARG,2021-10-01,290.0
ARG,2021-11-01,318.0
ARG,2021-12-01,736.0
ARG,2022-01-01,5255.0
ARG,2022-02-01,2454.0
ARG,2022-03-01,379.0
ARG,2022-04-01,102.0
ARG,2022-05-01,139.0
ARG,2022-06-01,24.0
ARG,2024-01-01,80.0
ARG,2024-02-01,64.0
ARG,2024-03-01,31.0
ARG,2024-04-01,3.0
ARG,2024-05-01,9.0
ARG,2024-06-01,6.0
ARG,2024-07-01,5.0
ARG,2024-08-01,5.0
ARG,2024-09-01,12.0
ARG,2024-10-01,16.0
ARG,2024-11-01,19.0
ARG,2024-12-01,12.0
ARG,2025-01-01,4.0
ARG,2025-02-01,7.0
ARG,2025-03-01,2.0
ARG,2025-04-01,8.0
ARG,2025-05-01,6.0
ARG,2025-06-01,13.0
ARG,2025-07-01,8.0
ARG,2025-08-01,2.0
AUS,2020-02-01,1.0
AUS,2020-03-01,51.0
AUS,2020-04-01,49.0
AUS,2020-05-01,2.0
AUS,2020-06-01,9.0
AUS,2020-07-01,196.0
AUS,2020-08-01,28.0
